iter	Passed	Remaining
0	5	5436
1	10	5365
2	15	5135
3	19	4930
4	24	4828
5	28	4779
6	33	4724
7	37	4696
8	42	4669
9	47	4659
10	51	4635
11	56	4635
12	61	4634
13	66	4655
14	71	4683
15	77	4756
16	82	4773
17	87	4793
18	93	4828
19	99	4855
20	104	4862
21	109	4872
22	114	4863
23	119	4863
24	125	4879
25	139	5236
26	154	5562
27	159	5526
28	163	5483
29	168	5453
30	173	5428
31	178	5399
32	183	5368
33	188	5341
34	193	5336
35	199	5329
36	203	5305
37	209	5297
38	214	5280
39	219	5275
40	224	5254
41	230	5247
42	235	5247
43	241	5248
44	246	5234
45	252	5229
46	257	5219
47	262	5212
48	268	5205
49	273	5203
50	279	5195
51	284	5194
52	290	5191
53	296	5188
54	301	5186
55	307	5182
56	313	5181
57	319	5184
58	324	5175
59	329	5164
60	335	5165
61	341	5168
62	346	5156
63	352	5151
64	357	5143
65	362	5135
66	368	5130
67	374	5126
68	379	5121
69	385	5118
70	390	5111
71	396	5112
72	402	5109
73	407	5103
74	413	5094
75	418	5089
76	424	5087
77	430	5090
78	435	5082
79	441	5076
80	446	5068
81	452	5060
82	457	5053
83	462	5044
84	467	5034
85	472	5025
86	478	5018
87	483	5011
88	489	5007
89	494	5003
90	499	4993
91	505	4986
92	510	4979
93	515	4971
94	520	4963
95	526	4955
96	531	4948
97	537	4946
98	542	4938
99	547	4931
100	553	4924
101	558	4913
102	563	4906
103	569	4903
104	574	4895
105	579	4885
106	584	4879
107	589	4871
108	595	4865
109	600	4859
110	605	4852
111	611	4846
112	616	4836
113	621	4827
114	626	4820
115	631	4813
116	636	4805
117	642	4801
118	657	4869
119	662	4861
120	672	4885
121	678	4881
122	684	4878
123	690	4876
124	695	4870
125	701	4862
126	706	4858
127	712	4853
128	717	4847
129	723	4843
130	729	4838
131	734	4830
132	740	4827
133	746	4821
134	751	4814
135	756	4807
136	761	4798
137	767	4791
138	772	4786
139	777	4777
140	782	4769
141	788	4766
142	793	4757
143	798	4747
144	804	4742
145	809	4734
146	814	4726
147	819	4720
148	824	4711
149	830	4705
150	836	4700
151	840	4691
152	846	4685
153	851	4678
154	856	4670
155	861	4661
156	866	4654
157	871	4645
158	876	4637
159	882	4630
160	887	4624
161	892	4615
162	897	4608
163	902	4600
164	907	4593
165	912	4585
166	918	4579
167	923	4574
168	929	4570
169	934	4562
170	939	4553
171	944	4544
172	949	4536
173	953	4528
174	959	4521
175	964	4513
176	969	4505
177	974	4498
178	979	4492
179	984	4485
180	989	4478
181	994	4471
182	1000	4464
183	1005	4458
184	1010	4452
185	1015	4444
186	1035	4502
187	1040	4492
188	1045	4484
189	1050	4477
190	1055	4469
191	1060	4461
192	1065	4454
193	1070	4447
194	1075	4439
195	1080	4433
196	1085	4426
197	1090	4418
198	1096	4413
199	1101	4405
200	1106	4398
201	1111	4392
202	1116	4384
